model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
ensembles,Stadium,present_elec_kwh,linear interpolation,4,8,30.709619759870918,19.644743065948457,0.8662457578947376,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_4_8.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,4,12,30.488423405843353,18.98140351097363,0.8682116330763018,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_4_12.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,4,24,30.145652570180566,19.481125058904095,0.8712352732994036,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_4_24.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,5,1,49.616182669883564,36.94832391057769,0.6506994289396897,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_5_1.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,5,8,30.416808715226505,19.019938845513547,0.8687842461707015,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_5_8.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,5,12,30.488423405843353,18.98140351097363,0.8682116330763018,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_5_12.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,5,24,30.145652570180566,19.481125058904095,0.8712352732994036,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_5_24.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,6,1,49.79615048857348,36.990237810883436,0.648160867263283,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_6_1.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,6,8,30.8834181424452,19.38322520825601,0.8647275332321104,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_6_8.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,6,12,76.43417231032046,66.80573728352392,0.17171027026304797,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_6_12.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,6,24,29.68516225978975,19.30328521200017,0.8751391217067169,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_6_24.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,7,1,49.15872055513351,36.603371009579774,0.6571108506895844,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_7_1.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,7,8,30.8834181424452,19.38322520825601,0.8647275332321104,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_7_8.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,7,12,76.43417231032046,66.80573728352392,0.17171027026304797,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_7_12.pkl
ensembles,Stadium,present_elec_kwh,linear interpolation,7,24,29.520688977586627,19.135129103709094,0.8765188943186081,./models/ensembles/stadium_present_elec_kwh_linear_interpolation_7_24.pkl
ensembles,Stadium,present_elec_kwh,prophet,1,1,49.95123805930864,37.337503333695715,0.6247826500814866,./models/ensembles/stadium_present_elec_kwh_prophet_1_1.pkl
ensembles,Stadium,present_elec_kwh,prophet,1,8,32.65846603201758,20.63936128036521,0.8396650298652555,./models/ensembles/stadium_present_elec_kwh_prophet_1_8.pkl
ensembles,Stadium,present_elec_kwh,prophet,1,12,32.7165030439913,20.904340380606275,0.8391452087418678,./models/ensembles/stadium_present_elec_kwh_prophet_1_12.pkl
ensembles,Stadium,present_elec_kwh,prophet,1,24,31.527585889507638,19.908629112394486,0.8506923053784838,./models/ensembles/stadium_present_elec_kwh_prophet_1_24.pkl
ensembles,Stadium,present_elec_kwh,prophet,2,1,49.88712568552747,37.26871363946926,0.6257452142918946,./models/ensembles/stadium_present_elec_kwh_prophet_2_1.pkl
