model_type,bldgname,y,preprocessing_method,feature_mode,time_step,rmse,mae,r2,model_file
solos,Energy Innovation Center,present_htwt_mmbtu,linear interpolation,feature complete,24,68.24061852508838,68.2402722856014,-98544.65151460927,./models/solos/energy_innovation_center_present_htwt_mmbtu_linear_interpolation_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,standard,1,6.793589936373092,3.089461944887139,0.5292414924408757,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_standard_1_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,standard,8,5.990657481050658,2.5625535668436523,0.6338666641592423,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_standard_8_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,standard,12,7.664336703982498,5.6721549201097945,0.4007439437781932,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_standard_12_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,standard,24,5.768610272658546,2.8501367022935318,0.6611882739966721,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_standard_24_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,feature complete,1,3.535149184872175,1.751615279569435,0.4945865670532935,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,feature complete,8,2.9611379770296846,1.6122916190575292,0.6453178340643062,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,feature complete,12,3.1064606363261262,1.6983161547334455,0.6096746482374029,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_htwt_mmbtu,prophet,feature complete,24,60.1575555521007,59.9710167154848,-145.09258228217053,./models/solos/energy_innovation_center_present_htwt_mmbtu_prophet_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear regression,standard,1,0.12331996774319905,0.09243438641625501,0.3035115434180524,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_standard_1_model.pkl
