model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
ensembles,Biological Sciences,present_elec_kwh,lstm,rfecv,4,2,30,day,436.39698146605093,317.81247342908745,0.07175037494126454,./models/ensembles/Biological_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_4_2_30_day,./models/tmp/Biological_Sciences_Data_Extended_present_elec_kwh_lstm,Biological_Sciences_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,linear_interpolation,rfecv,2,2,30,day,393.3509386791993,330.4425942148081,0.41221012222932707,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_2_2_30_day,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_linear_interpolation,College_of_Education_Data_Extended.csv
xgboost,Biological Sciences,present_elec_kwh,linear_interpolation,lassocv,3,3,30,day,513.9549225597253,388.1542415116888,0.08723165960034666,./models/xgboost/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_3_3_30_day,./models/tmp/Biological_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Biological_Sciences_Data_Extended.csv
ensembles,Education Annex,present_elec_kwh,linear_regression,rfecv,5,2,30,day,130.68290022260675,109.444812156427,0.2374860058180289,./models/ensembles/Education_Annex_Data_Extended_present_elec_kwh_linear_regression_rfecv_5_2_30_day,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_linear_regression,Education_Annex_Data_Extended.csv
xgboost,Energy Innovation Center,present_chll_tonhr,linear_interpolation,lassocv,3,1,30,day,3.2685704137940603,2.5252798978180975,0.2001826351400026,./models/xgboost/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_linear_interpolation_lassocv_3_1_30_day,./models/tmp/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_linear_interpolation,Energy_Innovation_Center_Data_Extended.csv
ensembles,Arts and Sciences,present_elec_kwh,linear_interpolation,lassocv,6,3,30,day,108.50807383629612,83.0218069660842,0.17824588949870598,./models/ensembles/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_6_3_30_day,./models/tmp/Arts_and_Sciences_Data_Extended_present_elec_kwh_linear_interpolation,Arts_and_Sciences_Data_Extended.csv
xgboost,Earth Sciences,present_chll_tonhr,lstm,lassocv,4,4,30,day,49.58732886746133,36.275022379488064,0.6624278109540576,./models/xgboost/Earth_Sciences_Data_Extended_present_chll_tonhr_lstm_lassocv_4_4_30_day,./models/tmp/Earth_Sciences_Data_Extended_present_chll_tonhr_lstm,Earth_Sciences_Data_Extended.csv
xgboost,Physical Science,present_elec_kwh,lstm,rfecv,1,1,30,day,577.9691966740787,380.81082618106035,0.06054471561204097,./models/xgboost/Physical_Science_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_30_day,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_lstm,Physical_Science_Data_Extended.csv
xgboost,Education Annex,present_elec_kwh,linear_interpolation,lassocv,6,2,30,day,144.8038902942617,121.14616285457001,0.27058083465468535,./models/xgboost/Education_Annex_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_6_2_30_day,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_linear_interpolation,Education_Annex_Data_Extended.csv
ensembles,Service Building,present_elec_kwh,prophet,rfecv,3,1,30,day,220.3653434352682,179.05329676939957,0.32682378571017856,./models/ensembles/Service_Building_Data_Extended_present_elec_kwh_prophet_rfecv_3_1_30_day,./models/tmp/Service_Building_Data_Extended_present_elec_kwh_prophet,Service_Building_Data_Extended.csv
xgboost,Physical Science,present_elec_kwh,linear_interpolation,lassocv,2,2,30,day,705.2050917708464,458.7761111857784,0.07384850837855075,./models/xgboost/Physical_Science_Data_Extended_present_elec_kwh_linear_interpolation_lassocv_2_2_30_day,./models/tmp/Physical_Science_Data_Extended_present_elec_kwh_linear_interpolation,Physical_Science_Data_Extended.csv
solos,Biological Sciences,present_elec_kwh,lstm,rfecv,5,2,30,day,436.39698146605093,317.81247342908745,0.07175037494126454,./models/solos/Biological_Sciences_Data_Extended_present_elec_kwh_lstm_rfecv_5_2_30_day,./models/tmp/Biological_Sciences_Data_Extended_present_elec_kwh_lstm,Biological_Sciences_Data_Extended.csv
ensembles,General Storage,present_elec_kwh,lstm,rfecv,3,2,30,day,87.83786902310571,71.64636891222014,0.23300090275167798,./models/ensembles/General_Storage_Data_Extended_present_elec_kwh_lstm_rfecv_3_2_30_day,./models/tmp/General_Storage_Data_Extended_present_elec_kwh_lstm,General_Storage_Data_Extended.csv
solos,Stadium,present_elec_kwh,prophet,lassocv,1,1,30,day,884.6217871630681,687.9364304080615,0.21218994637616218,./models/solos/Stadium_Data_Extended_present_elec_kwh_prophet_lassocv_1_1_30_day,./models/tmp/Stadium_Data_Extended_present_elec_kwh_prophet,Stadium_Data_Extended.csv
ensembles,Education Annex,present_elec_kwh,prophet,lassocv,5,2,30,day,137.79478164341387,114.25516886379536,0.24813008134508668,./models/ensembles/Education_Annex_Data_Extended_present_elec_kwh_prophet_lassocv_5_2_30_day,./models/tmp/Education_Annex_Data_Extended_present_elec_kwh_prophet,Education_Annex_Data_Extended.csv
solos,Service Building,present_elec_kwh,linear_regression,lassocv,5,2,30,day,193.90916995878567,153.53935988928743,0.2795883929672011,./models/solos/Service_Building_Data_Extended_present_elec_kwh_linear_regression_lassocv_5_2_30_day,./models/tmp/Service_Building_Data_Extended_present_elec_kwh_linear_regression,Service_Building_Data_Extended.csv
xgboost,Indoor Practice Facility,present_elec_kwh,prophet,rfecv,6,6,30,day,189.1973397496459,147.66819956093008,0.2701840425419639,./models/xgboost/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet_rfecv_6_6_30_day,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet,Indoor_Practice_Facility_Data_Extended.csv
ensembles,Williams Conservatory,present_elec_kwh,prophet,rfecv,3,1,30,day,83.47680530299128,58.64799673478614,0.15237542282705066,./models/ensembles/Williams_Conservatory_Data_Extended_present_elec_kwh_prophet_rfecv_3_1_30_day,./models/tmp/Williams_Conservatory_Data_Extended_present_elec_kwh_prophet,Williams_Conservatory_Data_Extended.csv
solos,Physical Science,present_chll_tonhr,prophet,rfecv,5,5,30,day,87.4844740792974,67.40183641015656,0.6999167334296755,./models/solos/Physical_Science_Data_Extended_present_chll_tonhr_prophet_rfecv_5_5_30_day,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_prophet,Physical_Science_Data_Extended.csv
